dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
ett,random-reset,na,FSS_pearson_h720_score,0.0126220174970383,0.0126220174970383,0.0126220174970383,0.0126220174970383,0.0051824186933146
ett,pretrained,na,FSS_pearson_h96_score,0.0067982378409622,0.0067982378409622,0.0067982378409622,0.0067982378409622,-0.003267569511004
ett,random-reset,na,FSS_pearson_h96_score,0.0100658073519662,0.0100658073519662,0.0100658073519662,0.0100658073519662,-0.003267569511004
ett,pretrained,na,FSS_pearson_havg_score,0.0199095761659323,0.0199095761659323,0.0199095761659323,0.0199095761659323,0.015338822609711601
ett,random-reset,na,FSS_pearson_havg_score,0.0045707535562207,0.0045707535562207,0.0045707535562207,0.0045707535562207,0.015338822609711601
ett,pretrained,na,FSS_spearman_h192_score,0.0101562124544735,0.0101562124544735,0.0101562124544735,0.0101562124544735,0.003600215129113
ett,random-reset,na,FSS_spearman_h192_score,0.0065559973253605,0.0065559973253605,0.0065559973253605,0.0065559973253605,0.003600215129113
ett,pretrained,na,FSS_spearman_h336_score,-0.004653533219598,-0.004653533219598,-0.004653533219598,-0.004653533219598,-0.0303172431948658
ett,random-reset,na,FSS_spearman_h336_score,0.0256637099752678,0.0256637099752678,0.0256637099752678,0.0256637099752678,-0.0303172431948658
ett,pretrained,na,FSS_spearman_h720_score,0.0091254037603518,0.0091254037603518,0.0091254037603518,0.0091254037603518,-0.008141004589307499
ett,random-reset,na,FSS_spearman_h720_score,0.0172664083496593,0.0172664083496593,0.0172664083496593,0.0172664083496593,-0.008141004589307499
ett,pretrained,na,FSS_spearman_h96_score,0.0030203711591463,0.0030203711591463,0.0030203711591463,0.0030203711591463,-0.0102702867805116
ett,random-reset,na,FSS_spearman_h96_score,0.0132906579396579,0.0132906579396579,0.0132906579396579,0.0132906579396579,-0.0102702867805116
ett,pretrained,na,FSS_spearman_havg_score,0.0124734045651682,0.0124734045651682,0.0124734045651682,0.0124734045651682,0.003270738065826999
ett,random-reset,na,FSS_spearman_havg_score,0.0092026664993412,0.0092026664993412,0.0092026664993412,0.0092026664993412,0.003270738065826999
ett,pretrained,na,LLS_avgk,0.2504028918684715,0.2504028918684715,0.2504028918684715,0.2504028918684715,-0.04216619848104153
ett,random-reset,na,LLS_avgk,0.292569090349513,0.292569090349513,0.292569090349513,0.292569090349513,-0.04216619848104153
ett,pretrained,na,LLS_k10,0.2960676288231336,0.2960676288231336,0.2960676288231336,0.2960676288231336,-0.04199823966180699
ett,random-reset,na,LLS_k10,0.3380658684849406,0.3380658684849406,0.3380658684849406,0.3380658684849406,-0.04199823966180699
ett,pretrained,na,LLS_k20,0.2377933789205004,0.2377933789205004,0.2377933789205004,0.2377933789205004,-0.043957591137930685
ett,random-reset,na,LLS_k20,0.2817509700584311,0.2817509700584311,0.2817509700584311,0.2817509700584311,-0.043957591137930685
ett,pretrained,na,LLS_k50,0.2173476678617805,0.2173476678617805,0.2173476678617805,0.2173476678617805,-0.04054276464338702
ett,random-reset,na,LLS_k50,0.2578904325051675,0.2578904325051675,0.2578904325051675,0.2578904325051675,-0.04054276464338702
ett,pretrained,na,LTC_dir,-0.3356397151947021,-0.3356397151947021,-0.3356397151947021,-0.3356397151947021,0.09201040863990789
ett,random-reset,na,LTC_dir,-0.42765012383461,-0.42765012383461,-0.42765012383461,-0.42765012383461,0.09201040863990789
ett,pretrained,na,LTC_step,5.017080307006836,5.017080307006836,5.017080307006836,5.017080307006836,1.3192920684814449
ett,random-reset,na,LTC_step,3.697788238525391,3.697788238525391,3.697788238525391,3.697788238525391,1.3192920684814449
ett,pretrained,na,MCS_k10,0.9611650485436892,0.9611650485436892,0.9611650485436892,0.9611650485436892,0.009708737864077666
ett,random-reset,na,MCS_k10,0.9514563106796116,0.9514563106796116,0.9514563106796116,0.9514563106796116,0.009708737864077666
ett,pretrained,na,MCS_k20,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.019417475728155442
ett,random-reset,na,MCS_k20,0.970873786407767,0.970873786407767,0.970873786407767,0.970873786407767,0.019417475728155442
ett,pretrained,na,MCS_k50,1.0,1.0,1.0,1.0,0.009708737864077555
ett,random-reset,na,MCS_k50,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.009708737864077555
ett,pretrained,na,PDS_pearson_mae_h192_score,-0.0708850684286824,-0.0822186345576211,-0.0787398781655938,-0.083115931510478,-0.050968860286519604
ett,random-reset,na,PDS_pearson_mae_h192_score,-0.0244133607096439,-0.0312497742711015,-0.0322808246989168,-0.041179339116005,-0.050968860286519604
ett,pretrained,na,PDS_pearson_mae_h336_score,-0.0499410483008809,-0.0573630823918301,-0.0550029277037583,-0.0577046524185638,-0.0915644981170899
ett,random-reset,na,PDS_pearson_mae_h336_score,0.0353684513234209,0.0342014157252598,0.0339445657623861,0.0322638302384774,-0.0915644981170899
ett,pretrained,na,PDS_pearson_mae_h720_score,-0.0294362485675264,-0.0361566690948026,-0.0362434877650133,-0.0431375456327109,-0.0398085608781521
ett,random-reset,na,PDS_pearson_mae_h720_score,0.0041101960811301,0.0036518917833495,0.0032265425132449,0.0019175396752549,-0.0398085608781521
ett,pretrained,na,PDS_pearson_mae_h96_score,-0.103404898044056,-0.1103472539303696,-0.1116578371958717,-0.1212213596131896,-0.11619631488764079
ett,random-reset,na,PDS_pearson_mae_h96_score,0.0074184356143292,0.0058490609572712,0.0038892979038823,-0.0015996028599533,-0.11619631488764079
ett,pretrained,na,PDS_pearson_mae_havg_score,-0.0362266690206578,-0.043499533610121,-0.0436627948501915,-0.0512621819197958,-0.2190413385330509
ett,random-reset,na,PDS_pearson_mae_havg_score,0.1794590720425968,0.1755418049229299,0.1728523525142519,0.1635561805772289,-0.2190413385330509
ett,pretrained,na,PDS_pearson_mse_h192_score,-0.0423018637724972,-0.050896530569666,-0.0489363650783701,-0.0536107008929472,-0.015668007001659497
ett,random-reset,na,PDS_pearson_mse_h192_score,-0.0300251849815252,-0.0352285235680065,-0.0362683582732406,-0.0435513662701902,-0.015668007001659497
ett,pretrained,na,PDS_pearson_mse_h336_score,-0.0685664475906961,-0.0759236598563308,-0.0743041858990041,-0.0784224502499853,-0.0945486083451381
ett,random-reset,na,PDS_pearson_mse_h336_score,0.0199034968551419,0.0186249484888073,0.0189675706718311,0.0183742666715442,-0.0945486083451381
ett,pretrained,na,PDS_pearson_mse_h720_score,-0.0380114510205551,-0.0431082341556956,-0.0429199864745095,-0.0476402742472777,-0.050522785064854296
ett,random-reset,na,PDS_pearson_mse_h720_score,0.0079013401139977,0.0074145509091587,0.006927687042622,0.0054671701047095,-0.050522785064854296
ett,pretrained,na,PDS_pearson_mse_h96_score,-0.0902492544145858,-0.0965072890662968,-0.0980371223206261,-0.1073548234809957,-0.1109388491935564
ett,random-reset,na,PDS_pearson_mse_h96_score,0.0165925502495433,0.0144315601272596,0.014655004479962,0.0129409030630832,-0.1109388491935564
ett,pretrained,na,PDS_pearson_mse_havg_score,-0.0464174995155176,-0.0521442560050288,-0.0529216393878387,-0.0602031626429698,-0.2148481770991626
ett,random-reset,na,PDS_pearson_mse_havg_score,0.1653049515329355,0.1627039210941338,0.1605830491997232,0.1537402749721002,-0.2148481770991626
ett,pretrained,na,PDS_spearman_mae_h192_score,-0.0893525015449582,-0.0991213228562273,-0.097641959731902,-0.1044520547945205,-0.0943707549410055
ett,random-reset,na,PDS_spearman_mae_h192_score,0.0031026124100204,-0.0047505679152218,-0.0065662515306531,-0.0180507990867579,-0.0943707549410055
ett,pretrained,na,PDS_spearman_mae_h336_score,-0.0634145473558325,-0.0704343621611105,-0.0705981861522146,-0.0779456489397008,-0.10327491817443141
ett,random-reset,na,PDS_spearman_mae_h336_score,0.0396104773921104,0.0328405560133209,0.0332825559427488,0.027396634422815,-0.10327491817443141
ett,pretrained,na,PDS_spearman_mae_h720_score,-0.0284786416669527,-0.0412972356690813,-0.0408042437715292,-0.0526368539785536,-0.0473645050125312
ett,random-reset,na,PDS_spearman_mae_h720_score,0.0084566796557604,0.0060672693434499,0.0040680921291051,-0.002319672611895,-0.0473645050125312
ett,pretrained,na,PDS_spearman_mae_h96_score,-0.0521663927226742,-0.053148621410833,-0.0544417491121258,-0.0580102332028701,-0.1045265310822718
