dataset,model,metric,best,median,mean,worst
ett,moment,LCS_clean,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144
ett,moment,LCS_mask,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144
ett,moment,LCS_noise,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144
ett,moment,LCS_warp,0.0,0.0,0.0,0.0
ett,moment,LTC_dir,-0.5102221965789795,-0.5102221965789795,-0.5102221965789795,-0.5102221965789795
ett,moment,LTC_step,2.1570675373077393,2.1570675373077393,2.1570675373077393,2.1570675373077393
ett,moment,PDS_spearman_mae_h96_score,-0.2677264534218356,-0.2677264534218356,-0.2677264534218356,-0.2677264534218356
ett,moment,TSI_mask,1.0,1.0,1.0,1.0
ett,moment,TSI_noise,1.0,1.0,1.0,1.0
ett,moment,TSI_warp,0.0,0.0,0.0,0.0
ett,tirex,FSS_spearman_h96_score,-0.6724832823061017,-0.6724832823061017,-0.6724832823061017,-0.6724832823061017
ett,tirex,GSP_mask,0.0,0.0,0.0,0.0
ett,tirex,GSP_noise,0.0,0.0,0.0,0.0
ett,tirex,GSP_warp,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938
ett,tirex,LCS_clean,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938
ett,tirex,LCS_mask,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938
ett,tirex,LCS_noise,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938,-0.09782873839139938
ett,tirex,LCS_warp,0.0,0.0,0.0,0.0
ett,tirex,LTC_dir,-0.30770403146743774,-0.30770403146743774,-0.30770403146743774,-0.30770403146743774
ett,tirex,LTC_step,25.52700424194336,25.52700424194336,25.52700424194336,25.52700424194336
ett,tirex,PDS_spearman_mae_h96_score,-0.36824788281071175,-0.36824788281071175,-0.36824788281071175,-0.36824788281071175
ett,tirex,TSI_mask,1.0,1.0,1.0,1.0
ett,tirex,TSI_noise,1.0,1.0,1.0,1.0
ett,tirex,TSI_warp,0.0,0.0,0.0,0.0
