dataset,model,metric,value
ett,VisionTS,TSI_mask,1.0
ett,VisionTS,TSI_warp,0.0
ett,VisionTS,GSP_noise,0.0
ett,VisionTS,GSP_mask,0.0
ett,VisionTS,GSP_warp,-0.17086701095104218
ett,VisionTS,FSS_spearman_h96_score,-0.7023551329614158
ett,VisionTS,PDS_spearman_mae_h96_score,-0.3218699931334401
ett,VisionTS,LTC_step,6.11023473739624
ett,VisionTS,LTC_dir,-0.2534620761871338
ett,moment,LCS_clean,-0.04692818969488144
ett,moment,LCS_noise,-0.04692818969488144
ett,moment,LCS_mask,-0.04692818969488144
ett,moment,LCS_warp,0.0
ett,moment,TSI_noise,1.0
ett,moment,TSI_mask,1.0
ett,moment,TSI_warp,0.0
ett,moment,GSP_noise,0.0
ett,moment,GSP_mask,0.0
ett,moment,GSP_warp,-0.04692818969488144
ett,moment,FSS_spearman_h96_score,-0.028856013007879877
ett,moment,PDS_spearman_mae_h96_score,-0.2677264534218356
ett,moment,LTC_step,2.1570675373077393
ett,moment,LTC_dir,-0.5102221965789795
ett,tirex,LCS_clean,-0.09782873839139938
ett,tirex,LCS_noise,-0.09782873839139938
ett,tirex,LCS_mask,-0.09782873839139938
ett,tirex,LCS_warp,0.0
ett,tirex,TSI_noise,1.0
ett,tirex,TSI_mask,1.0
ett,tirex,TSI_warp,0.0
ett,tirex,GSP_noise,0.0
ett,tirex,GSP_mask,0.0
ett,tirex,GSP_warp,-0.09782873839139938
ett,tirex,FSS_spearman_h96_score,-0.6724832823061017
ett,tirex,PDS_spearman_mae_h96_score,-0.36824788281071175
ett,tirex,LTC_step,25.52700424194336
ett,tirex,LTC_dir,-0.30770403146743774
ett,uni2ts,LCS_clean,-0.10987432301044464
ett,uni2ts,LCS_noise,-0.10987432301044464
ett,uni2ts,LCS_mask,-0.10987432301044464
ett,uni2ts,LCS_warp,0.0
ett,uni2ts,TSI_noise,1.0
ett,uni2ts,TSI_mask,1.0
ett,uni2ts,TSI_warp,0.0
ett,uni2ts,GSP_noise,0.0
ett,uni2ts,GSP_mask,0.0
ett,uni2ts,GSP_warp,-0.10987432301044464
ett,uni2ts,FSS_spearman_h96_score,-0.7363394176023947
ett,uni2ts,PDS_spearman_mae_h96_score,-0.4261308365758754
ett,uni2ts,LTC_step,26.659677505493164
ett,uni2ts,LTC_dir,-0.32473617792129517
ett,chronos-forecasting,LCS_clean,-0.037173330783843994
ett,chronos-forecasting,LCS_noise,-0.037173330783843994
ett,chronos-forecasting,LCS_mask,-0.037173330783843994
ett,chronos-forecasting,LCS_warp,0.0
ett,chronos-forecasting,TSI_noise,1.0
ett,chronos-forecasting,TSI_mask,1.0
ett,chronos-forecasting,TSI_warp,0.0
ett,chronos-forecasting,GSP_noise,0.0
ett,chronos-forecasting,GSP_mask,0.0
ett,chronos-forecasting,GSP_warp,-0.037173330783843994
ett,chronos-forecasting,FSS_spearman_h96_score,-0.18041388877443443
ett,chronos-forecasting,PDS_spearman_mae_h96_score,0.3488834687571526
ett,chronos-forecasting,LTC_step,0.2115270495414734
ett,chronos-forecasting,LTC_dir,-0.46521368622779846
traffic,LightGTS,LCS_clean,-0.051756493747234344
traffic,LightGTS,LCS_noise,-0.051756493747234344
traffic,LightGTS,LCS_mask,-0.051756493747234344
traffic,LightGTS,LCS_warp,0.0
traffic,LightGTS,TSI_noise,1.0
traffic,LightGTS,TSI_mask,1.0
traffic,LightGTS,TSI_warp,0.0
traffic,LightGTS,GSP_noise,0.0
traffic,LightGTS,GSP_mask,0.0
traffic,LightGTS,GSP_warp,-0.051756493747234344
traffic,LightGTS,FSS_spearman_h96_score,-0.41756495516865993
traffic,LightGTS,PDS_spearman_mae_h96_score,0.21678015564202333
traffic,LightGTS,LTC_step,1.6317875385284424
traffic,LightGTS,LTC_dir,-0.2559572458267212
traffic,NeurIPS2023-One-Fits-All,LCS_clean,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_noise,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_mask,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_warp,0.0
traffic,NeurIPS2023-One-Fits-All,TSI_noise,1.0
traffic,NeurIPS2023-One-Fits-All,TSI_mask,1.0
