model,metric,csi300,csi800,delta_csi800_minus_csi300
tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.767156862745098,0.728318250377074,-0.038838612368023995
tsfm_pretrained,CSS_layer25_seasonality_margin,0.5845520082186513,0.5980189398481404,0.013466931629489087
tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,CSS_layer25_trend_bal_acc,0.4954751131221719,0.5343137254901961,0.03883861236802416
tsfm_pretrained,CSS_layer25_trend_margin,0.5623206979727594,0.5529722758416812,-0.009348422131078227
tsfm_pretrained,CSS_layer25_trend_pvalue,0.4851485148514851,0.2376237623762376,-0.24752475247524747
tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.777526395173454,0.698340874811463,-0.079185520361991
tsfm_pretrained,CSS_layer25_volatility_margin,0.6014755901085979,0.6019667037111424,0.0004911136025445018
tsfm_pretrained,CSS_layer25_volatility_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.6408371040723981,0.6885369532428356,0.04769984917043746
tsfm_pretrained,CSS_layer50_seasonality_margin,0.6575735552985896,0.6509799913874479,-0.006593563911141742
tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5148944193061841,0.5725867269984917,0.0576923076923076
tsfm_pretrained,CSS_layer50_trend_margin,0.6057116766753412,0.62845295709631,0.02274128042096879
tsfm_pretrained,CSS_layer50_trend_pvalue,0.3762376237623762,0.0891089108910891,-0.28712871287128705
tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.719079939668175,0.7088989441930618,-0.010180995475113197
tsfm_pretrained,CSS_layer50_volatility_margin,0.66344574672747,0.6586415671948169,-0.004804179532653108
tsfm_pretrained,CSS_layer50_volatility_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,FSS_baseline_cmp,-0.2010549064069329,-0.2075790696443782,-0.006524163237445285
tsfm_pretrained,FSS_baseline_cmp_pvalue,4.8645931248695796e-49,3.169280987336317e-52,-4.861423843882243e-49
tsfm_pretrained,LTC_dir_baseline_cmp,-0.4400096833705902,-0.3966290652751922,0.043380618095398005
tsfm_pretrained,LTC_step_baseline_cmp,4.376239776611328,4.400006771087647,0.023766994476319248
tsfm_pretrained,MCS_in,1.0,1.0,0.0
tsfm_pretrained,MCS_ood,1.0,1.0,0.0
tsfm_pretrained,PDS_baseline_cmp,0.0199666124851733,-0.0936168343364231,-0.11358344682159639
tsfm_pretrained,PDS_baseline_cmp_pvalue,0.8413352121602671,0.346920394345136,-0.4944148178151311
tsfm_pretrained,PDS_in_pvalue,0.8413352121602671,0.346920394345136,-0.4944148178151311
tsfm_pretrained,PDS_in_spearman,0.0199666124851733,-0.0936168343364231,-0.11358344682159639
tsfm_pretrained,PDS_ood_pvalue,0.2287592230830663,0.1977097720502745,-0.031049451032791775
tsfm_pretrained,PDS_ood_spearman,-0.1196239511487941,-0.1279598471203268,-0.008335895971532697
