dataset,model,metric,best,median,mean,worst
traffic,moment,PDS_spearman_mae_h96_score,-0.08816734378576331,-0.08816734378576331,-0.08816734378576331,-0.08816734378576331
traffic,moment,TSI_mask,1.0,1.0,1.0,1.0
traffic,moment,TSI_noise,1.0,1.0,1.0,1.0
traffic,moment,TSI_warp,0.0,0.0,0.0,0.0
traffic,tirex,FSS_spearman_h96_score,-0.4970463462327626,-0.4970463462327626,-0.4970463462327626,-0.4970463462327626
traffic,tirex,GSP_mask,0.0,0.0,0.0,0.0
traffic,tirex,GSP_noise,0.0,0.0,0.0,0.0
traffic,tirex,GSP_warp,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546
traffic,tirex,LCS_clean,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546
traffic,tirex,LCS_mask,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546
traffic,tirex,LCS_noise,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546,-0.04386499896645546
traffic,tirex,LCS_warp,0.0,0.0,0.0,0.0
traffic,tirex,LTC_dir,-0.11035580933094025,-0.11035580933094025,-0.11035580933094025,-0.11035580933094025
traffic,tirex,LTC_step,8.888983726501465,8.888983726501465,8.888983726501465,8.888983726501465
traffic,tirex,PDS_spearman_mae_h96_score,-0.13577120050354768,-0.13577120050354768,-0.13577120050354768,-0.13577120050354768
traffic,tirex,TSI_mask,1.0,1.0,1.0,1.0
traffic,tirex,TSI_noise,1.0,1.0,1.0,1.0
traffic,tirex,TSI_warp,0.0,0.0,0.0,0.0
traffic,uni2ts,FSS_spearman_h96_score,-0.4849916121853234,-0.4849916121853234,-0.4849916121853234,-0.4849916121853234
traffic,uni2ts,GSP_mask,0.0,0.0,0.0,0.0
traffic,uni2ts,GSP_noise,0.0,0.0,0.0,0.0
traffic,uni2ts,GSP_warp,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785
traffic,uni2ts,LCS_clean,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785
traffic,uni2ts,LCS_mask,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785
traffic,uni2ts,LCS_noise,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785,-0.045232415199279785
traffic,uni2ts,LCS_warp,0.0,0.0,0.0,0.0
traffic,uni2ts,LTC_dir,-0.15767072141170502,-0.15767072141170502,-0.15767072141170502,-0.15767072141170502
traffic,uni2ts,LTC_step,9.636015892028809,9.636015892028809,9.636015892028809,9.636015892028809
traffic,uni2ts,PDS_spearman_mae_h96_score,-0.029114213778896766,-0.029114213778896766,-0.029114213778896766,-0.029114213778896766
traffic,uni2ts,TSI_mask,1.0,1.0,1.0,1.0
traffic,uni2ts,TSI_noise,1.0,1.0,1.0,1.0
traffic,uni2ts,TSI_warp,0.0,0.0,0.0,0.0
