dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
traffic,random-reset,na,MCS_k20,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.009708737864077666
traffic,pretrained,na,MCS_k50,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.0
traffic,random-reset,na,MCS_k50,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.0
traffic,pretrained,na,PDS_pearson_mae_h192_score,-0.149726956806261,-0.1512642965038835,-0.1513223020003801,-0.1529756526909958,-0.0018751910214716005
traffic,random-reset,na,PDS_pearson_mae_h192_score,-0.1411100956336535,-0.1493891054824119,-0.1469607239875142,-0.1503829708464773,-0.0018751910214716005
traffic,pretrained,na,PDS_pearson_mae_h336_score,-0.2154358354883762,-0.2257752873116046,-0.225010164291656,-0.2338193700749872,-0.22181641035016889
traffic,random-reset,na,PDS_pearson_mae_h336_score,-0.0036538654655487,-0.0039588769614357,-0.006310401361892,-0.0113184616586916,-0.22181641035016889
traffic,pretrained,na,PDS_pearson_mae_h720_score,-0.2448040028762968,-0.2503336018515085,-0.2488584915296946,-0.2514378698612783,-0.23424873775115518
traffic,random-reset,na,PDS_pearson_mae_h720_score,-0.0133451433772007,-0.0160848641003533,-0.0195069393970606,-0.0290908107136279,-0.23424873775115518
traffic,pretrained,na,PDS_pearson_mae_h96_score,-0.2025440393896531,-0.2077879412808938,-0.2074564449341654,-0.2120373541319494,-0.178497424896346
traffic,random-reset,na,PDS_pearson_mae_h96_score,-0.026887046633695,-0.0292905163845478,-0.0296503345397492,-0.0327734406010048,-0.178497424896346
traffic,pretrained,na,PDS_pearson_mae_havg_score,-0.1691146038955119,-0.2052834798518833,-0.2021691152395879,-0.2321092619713683,-0.1390532185811834
traffic,random-reset,na,PDS_pearson_mae_havg_score,-0.0602205230495035,-0.0662302612706999,-0.065190775257874,-0.0691215414534187,-0.1390532185811834
traffic,pretrained,na,PDS_pearson_mse_h192_score,-0.0581229840322138,-0.0617260729501041,-0.0610358854282583,-0.063258599302457,0.0290995145480291
