dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
weather,random-reset,na,PDS_pearson_mse_h336_score,0.0028996085286936,0.0016020506075737,0.0018935685635088,0.0011790465542592,-0.0096897232531055
weather,pretrained,na,PDS_pearson_mse_h720_score,-0.0033814821575422,-0.0038398978146321,-0.0044038880364361,-0.005990284137134,0.0104479023540723
weather,random-reset,na,PDS_pearson_mse_h720_score,-0.0126939667860981,-0.0142878001687044,-0.0143003103037998,-0.015919163956597,0.0104479023540723
weather,pretrained,na,PDS_pearson_mse_h96_score,-0.0134675676793001,-0.017473507762853,-0.0169000792647291,-0.0197591623520341,0.0609591286716021
weather,random-reset,na,PDS_pearson_mse_h96_score,-0.0743805874164116,-0.0784326364344552,-0.077823455176716,-0.0806571416792814,0.0609591286716021
weather,pretrained,na,PDS_pearson_mse_havg_score,-0.0055176595750179,-0.0057192637353985,-0.0061190345628305,-0.0071201803780752,0.0785711685269429
weather,random-reset,na,PDS_pearson_mse_havg_score,-0.0799816303449317,-0.0842904322623414,-0.0836584804713484,-0.086703378806772,0.0785711685269429
weather,pretrained,na,PDS_spearman_mae_h192_score,-0.0907257806178935,-0.0942572648767045,-0.0989661789049869,-0.1119154912203627,0.053111313838607
weather,random-reset,na,PDS_spearman_mae_h192_score,-0.1384824411965982,-0.1473685787153116,-0.1497743949124636,-0.163472164825481,0.053111313838607
weather,pretrained,na,PDS_spearman_mae_h336_score,-0.0709167755742507,-0.0742863577705067,-0.0799507490888728,-0.0946491139218609,-0.0174802893626569
weather,random-reset,na,PDS_spearman_mae_h336_score,-0.044309490905334,-0.0568060684078497,-0.057991789292726,-0.0728598085649943,-0.0174802893626569
weather,pretrained,na,PDS_spearman_mae_h720_score,-0.2729567800092003,-0.2789852209620956,-0.2841394913182151,-0.3004764729833495,-0.0219939211498164
weather,random-reset,na,PDS_spearman_mae_h720_score,-0.2411342379672469,-0.2569912998122792,-0.2562045912040414,-0.2704882358325982,-0.0219939211498164
weather,pretrained,na,PDS_spearman_mae_h96_score,-0.19268617001052,-0.2038424276680844,-0.2049665435730675,-0.218371033040598,-0.0292166418665461
weather,random-reset,na,PDS_spearman_mae_h96_score,-0.165796711709713,-0.1746257858015383,-0.1735369426875852,-0.1801883305515043,-0.0292166418665461
weather,pretrained,na,PDS_spearman_mae_havg_score,-0.1084253927023724,-0.1141587571256789,-0.12286070082487,-0.1459979526465588,-0.0123729405384079
weather,random-reset,na,PDS_spearman_mae_havg_score,-0.0914376603937288,-0.1017858165872709,-0.102156438075245,-0.1132458372447351,-0.0123729405384079
