dataset,model,metric,best,median,mean,worst
csi800,Sundial,LCS_clean,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168
csi800,Sundial,LCS_mask,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168
csi800,Sundial,LCS_noise,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168
csi800,Sundial,LCS_warp,0.0,0.0,0.0,0.0
csi800,Sundial,LTC_dir,-0.33558306097984314,-0.33558306097984314,-0.33558306097984314,-0.33558306097984314
csi800,Sundial,LTC_step,3.0754497051239014,3.0754497051239014,3.0754497051239014,3.0754497051239014
csi800,Sundial,PDS_spearman_mae_h96_score,-0.005661335545891508,-0.005661335545891508,-0.005661335545891508,-0.005661335545891508
csi800,Sundial,TSI_mask,1.0,1.0,1.0,1.0
csi800,Sundial,TSI_noise,1.0,1.0,1.0,1.0
csi800,Sundial,TSI_warp,0.0,0.0,0.0,0.0
csi800,Time-MoE,FSS_spearman_h96_score,-0.4899928147107418,-0.4899928147107418,-0.4899928147107418,-0.4899928147107418
csi800,Time-MoE,GSP_mask,0.0,0.0,0.0,0.0
csi800,Time-MoE,GSP_noise,0.0,0.0,0.0,0.0
csi800,Time-MoE,GSP_warp,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996
csi800,Time-MoE,LCS_clean,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996
csi800,Time-MoE,LCS_mask,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996
csi800,Time-MoE,LCS_noise,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996,-0.056266188621520996
csi800,Time-MoE,LCS_warp,0.0,0.0,0.0,0.0
csi800,Time-MoE,LTC_dir,-0.22060412168502808,-0.22060412168502808,-0.22060412168502808,-0.22060412168502808
csi800,Time-MoE,LTC_step,0.530289351940155,0.530289351940155,0.530289351940155,0.530289351940155
csi800,Time-MoE,PDS_spearman_mae_h96_score,-0.06598334859235522,-0.06598334859235522,-0.06598334859235522,-0.06598334859235522
csi800,Time-MoE,TSI_mask,1.0,1.0,1.0,1.0
csi800,Time-MoE,TSI_noise,1.0,1.0,1.0,1.0
csi800,Time-MoE,TSI_warp,0.0,0.0,0.0,0.0
csi800,UniTime,FSS_spearman_h96_score,-0.3200918791366333,-0.3200918791366333,-0.3200918791366333,-0.3200918791366333
csi800,UniTime,GSP_mask,0.0,0.0,0.0,0.0
csi800,UniTime,GSP_noise,0.0,0.0,0.0,0.0
csi800,UniTime,GSP_warp,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255
csi800,UniTime,LCS_clean,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255
csi800,UniTime,LCS_mask,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255
csi800,UniTime,LCS_noise,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255,-0.026347557082772255
csi800,UniTime,LCS_warp,0.0,0.0,0.0,0.0
csi800,UniTime,LTC_dir,-0.47213152050971985,-0.47213152050971985,-0.47213152050971985,-0.47213152050971985
csi800,UniTime,LTC_step,5.160295009613037,5.160295009613037,5.160295009613037,5.160295009613037
csi800,UniTime,PDS_spearman_mae_h96_score,-0.26048652437628744,-0.26048652437628744,-0.26048652437628744,-0.26048652437628744
csi800,UniTime,TSI_mask,1.0,1.0,1.0,1.0
csi800,UniTime,TSI_noise,1.0,1.0,1.0,1.0
csi800,UniTime,TSI_warp,0.0,0.0,0.0,0.0
csi800,VisionTS,FSS_spearman_h96_score,-0.5539591814983416,-0.5539591814983416,-0.5539591814983416,-0.5539591814983416
csi800,VisionTS,GSP_mask,0.0,0.0,0.0,0.0
csi800,VisionTS,GSP_noise,0.0,0.0,0.0,0.0
csi800,VisionTS,GSP_warp,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156
csi800,VisionTS,LCS_clean,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156
csi800,VisionTS,LCS_mask,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156
csi800,VisionTS,LCS_noise,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156,-0.05305829271674156
csi800,VisionTS,LCS_warp,0.0,0.0,0.0,0.0
csi800,VisionTS,LTC_dir,-0.392897367477417,-0.392897367477417,-0.392897367477417,-0.392897367477417
csi800,VisionTS,LTC_step,1.4366010427474976,1.4366010427474976,1.4366010427474976,1.4366010427474976
csi800,VisionTS,PDS_spearman_mae_h96_score,-0.2844472419317921,-0.2844472419317921,-0.2844472419317921,-0.2844472419317921
csi800,VisionTS,TSI_mask,1.0,1.0,1.0,1.0
csi800,VisionTS,TSI_noise,1.0,1.0,1.0,1.0
csi800,VisionTS,TSI_warp,0.0,0.0,0.0,0.0
csi800,chronos-forecasting,FSS_spearman_h96_score,-0.4564460179175995,-0.4564460179175995,-0.4564460179175995,-0.4564460179175995
csi800,chronos-forecasting,GSP_mask,0.0,0.0,0.0,0.0
csi800,chronos-forecasting,GSP_noise,0.0,0.0,0.0,0.0
csi800,chronos-forecasting,GSP_warp,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676
csi800,chronos-forecasting,LCS_clean,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676
csi800,chronos-forecasting,LCS_mask,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676
csi800,chronos-forecasting,LCS_noise,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676,-0.03727658838033676
csi800,chronos-forecasting,LCS_warp,0.0,0.0,0.0,0.0
csi800,chronos-forecasting,LTC_dir,-0.2139410525560379,-0.2139410525560379,-0.2139410525560379,-0.2139410525560379
csi800,chronos-forecasting,LTC_step,0.1054009348154068,0.1054009348154068,0.1054009348154068,0.1054009348154068
csi800,chronos-forecasting,PDS_spearman_mae_h96_score,-0.14493948844129087,-0.14493948844129087,-0.14493948844129087,-0.14493948844129087
