dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
csi300,414,0.11705685618729096,6.544428,6.8549604,5.4111905,6.28026
csi300,425,0.12040133779264214,6.4557114,7.3262815,3.5670874,7.4593983
csi300,437,0.12374581939799331,6.4781294,6.7128234,3.7488391,7.1075373
csi300,449,0.12709030100334448,6.747435,6.8056736,3.6156008,7.396422
csi300,461,0.13043478260869565,4.531899,7.9037504,3.7461627,7.2191935
csi300,473,0.13377926421404682,8.746284,7.933799,5.170633,9.384236
csi300,485,0.13712374581939799,9.07775,8.781061,3.618627,7.1573744
csi300,496,0.14046822742474915,8.908722,8.895359,3.7674084,7.2316513
csi300,508,0.14381270903010032,9.335562,9.106328,3.6300423,7.284275
csi300,520,0.1471571906354515,7.897181,8.9605665,5.5689626,6.2593107
csi300,532,0.1505016722408027,6.9731607,9.058311,3.8659658,8.97999
csi300,544,0.15384615384615385,8.376102,8.719472,4.18986,9.182775
csi300,555,0.15719063545150502,4.6092687,8.784661,3.6824477,7.208226
csi300,567,0.1605351170568562,5.0689373,8.641635,5.3611064,6.3929024
csi300,579,0.16387959866220736,5.9200945,8.261396,3.7424667,7.309788
csi300,591,0.16722408026755853,7.3923984,8.487701,3.7859335,7.111019
csi300,603,0.1705685618729097,8.977089,8.001913,5.40035,6.2503533
csi300,615,0.17391304347826086,7.059549,7.830241,3.6791604,7.2052174
csi300,626,0.17725752508361203,7.8310957,8.522295,3.6674833,7.174207
csi300,638,0.1806020066889632,9.116765,9.387227,5.4930296,6.3263144
csi300,650,0.18394648829431437,8.521214,8.234334,5.2767644,9.366073
csi300,662,0.18729096989966554,6.0010214,7.71546,4.2611413,9.239272
csi300,674,0.1906354515050167,6.2428555,7.3120065,5.364485,6.1922455
csi300,686,0.1939799331103679,6.1414113,6.8632126,5.5267377,6.241771
csi300,697,0.19732441471571907,5.812846,7.0065084,3.6809983,7.212631
csi300,709,0.20066889632107024,8.65024,7.554757,5.4060946,6.296197
csi300,721,0.2040133779264214,6.2856283,7.787781,3.656048,7.2079573
csi300,733,0.20735785953177258,8.707768,7.2977185,3.5951562,7.2730317
csi300,745,0.21070234113712374,8.835573,7.680763,5.528483,9.706915
csi300,757,0.2140468227424749,6.9030223,8.25348,5.5040293,6.3650236
csi300,768,0.21739130434782608,8.349954,8.683134,5.4208913,6.231025
csi300,780,0.22073578595317725,9.2211275,8.649023,3.6141715,7.323815
csi300,792,0.22408026755852842,6.7965226,8.2034855,3.642195,7.250411
csi300,804,0.22742474916387959,8.450916,9.013951,3.5853097,7.310211
csi300,816,0.23076923076923075,8.748079,8.746284,3.6663628,7.2770157
csi300,828,0.23411371237458192,8.433009,8.941565,3.6374733,7.2755113
csi300,839,0.23745819397993312,8.592115,8.813631,3.6305618,7.1921186
csi300,851,0.2408026755852843,6.7101364,8.07171,3.6403584,7.3214893
csi300,863,0.24414715719063546,6.7666883,8.46655,5.474632,6.174778
csi300,875,0.24749163879598662,7.028533,8.63188,3.710335,7.174783
csi300,887,0.2508361204013378,4.6586723,8.859482,3.6101835,7.346136
