date,value
2017-06-13,0.16202013
2017-06-14,-1.2028437
2017-06-15,-0.19839525
2017-06-16,-0.2877289
2017-06-19,0.8496098
2017-06-20,-0.2142297
2017-06-21,1.0074549
2017-06-22,0.024912283
2017-06-23,0.77331126
2017-06-26,1.0776767
2017-06-27,0.12652677
2017-06-28,-0.7267322
2017-06-29,0.5194822
2017-06-30,-0.083703145
2017-07-03,-0.4220693
2017-07-04,-0.7877328
2017-07-05,0.94283164
2017-07-06,-0.024232375
2017-07-07,-0.13585958
2017-07-10,-0.08905212
2017-07-11,0.38323483
2017-07-12,-0.32535228
2017-07-13,0.64996094
2017-07-14,0.35654843
2017-07-17,-0.9858518
2017-07-18,0.053744666
2017-07-19,1.4860363
2017-07-20,0.3989896
2017-07-21,-0.492987
2017-07-24,0.3210338
2017-07-25,-0.6035784
2017-07-26,-0.37390202
2017-07-27,0.12929952
2017-07-28,0.19839525
2017-07-31,0.3482833
2017-08-01,0.7406969
2017-08-02,-0.2596455
2017-08-03,-0.81697416
2017-08-04,-0.5184092
2017-08-07,0.42748204
2017-08-08,0.09516598
2017-08-09,-0.06230196
2017-08-10,-0.39560598
2017-08-11,-1.6788807
2017-08-14,1.1221044
2017-08-15,0.23994406
2017-08-16,-0.14586699
2017-08-17,0.44368297
2017-08-18,0.04697745
2017-08-21,0.35607037
2017-08-22,0.23488724
2017-08-23,0.05563566
2017-08-24,-0.5431356
2017-08-25,1.4238033
2017-08-28,1.0680836
2017-08-29,-0.22396089
2017-08-30,-0.039896835
2017-08-31,-0.31812295
2017-09-01,0.16253006
2017-09-04,0.31639132
2017-09-05,0.23048908
2017-09-06,-0.20990591
2017-09-07,-0.48764336
2017-09-08,-0.12471546
2017-09-11,-0.042409312
2017-09-12,0.25187433
2017-09-13,0.07409944
2017-09-14,-0.32778507
2017-09-15,-0.0031870725
2017-09-18,0.24116576
2017-09-19,-0.290082
2017-09-20,0.20558742
2017-09-21,-0.14148477
2017-09-22,-0.036412302
2017-09-25,-0.49739578
2017-09-26,0.035408374
2017-09-27,-0.024625447
2017-09-28,-0.0031658253
2017-09-29,0.29112846
2017-10-09,1.0273103
2017-10-10,0.14135729
2017-10-11,0.2593852
2017-10-12,0.20005253
2017-10-13,0.14891064
2017-10-16,-0.20610797
2017-10-17,-0.042982984
2017-10-18,0.6737471
2017-10-19,-0.32615438
2017-10-20,-0.13407482
2017-10-23,0.055168223
2017-10-24,0.61394703
2017-10-25,0.36070225
2017-10-26,0.33818024
2017-10-27,0.5991909
2017-10-30,-0.30572525
2017-10-31,-0.101147056
2017-11-01,-0.258939
2017-11-02,-0.02296817
2017-11-03,-0.13329399
2017-11-06,0.59484583
2017-11-07,0.70491666
2017-11-08,-0.17157073
2017-11-09,0.5797072
2017-11-10,0.7529777
2017-11-13,0.315892
2017-11-14,-0.6544441
2017-11-15,-0.5926839
2017-11-16,0.65126765
2017-11-17,0.3094541
2017-11-20,0.46263543
2017-11-21,1.5542184
2017-11-22,0.17404602
2017-11-23,-2.6729658
2017-11-24,0.0048655975
2017-11-27,-1.2124845
2017-11-28,0.09491102
2017-11-29,-0.07988397
2017-11-30,-1.0819951
2017-12-01,-0.21152599
2017-12-04,0.4274714
2017-12-05,0.43822247
2017-12-06,-0.57147926
2017-12-07,-1.0277724
2017-12-08,0.6909785
2017-12-11,1.4374865
2017-12-12,-1.2056111
2017-12-13,0.7217763
2017-12-14,-0.561185
2017-12-15,-1.0369937
2017-12-18,0.06491004
2017-12-19,1.0845289
2017-12-20,-0.14126699
2017-12-21,0.79163694
2017-12-22,-0.32466707
2017-12-25,-0.3214003
2017-12-26,0.2320295
2017-12-27,-1.4065506
2017-12-28,0.5838823
2017-12-29,0.2307653
2018-01-02,1.2157725
2018-01-03,0.48869509
2018-01-04,0.34318396
2018-01-05,0.1801227
2018-01-08,0.42660028
2018-01-09,0.58979964
2018-01-10,0.35948053
2018-01-11,-0.08154656
2018-01-12,0.37700942
2018-01-15,-0.029363561
2018-01-16,0.6665656
2018-01-17,-0.25112537
2018-01-18,0.4544128
2018-01-19,0.25723925
2018-01-22,1.0303911
2018-01-23,0.9112371
2018-01-24,0.11349165
2018-01-25,-0.5379566
2018-01-26,0.29675895
2018-01-29,-1.6470047
2018-01-30,-0.9855437
2018-01-31,0.38012213
2018-02-01,-0.6596496
2018-02-02,0.4973533
2018-02-05,0.026410207
2018-02-06,-2.646104
2018-02-07,-2.1477468
2018-02-08,-0.8803491
2018-02-09,-3.0
2018-02-12,1.1130744
2018-02-13,1.0085915
2018-02-14,0.67501134
2018-02-22,1.8924518
2018-02-23,0.3692436
2018-02-26,1.001665
2018-02-27,-1.3205422
2018-02-28,-0.810276
2018-03-01,0.5291709
2018-03-02,-0.7524412
2018-03-05,0.0019122434
2018-03-06,1.0405685
2018-03-07,-0.689879
2018-03-08,0.8695821
2018-03-09,0.6489198
2018-03-12,0.37337616
2018-03-13,-0.82054365
2018-03-14,-0.42448086
2018-03-15,0.4648239
2018-03-16,-0.8989828
2018-03-19,0.3572177
2018-03-20,0.04120885
2018-03-21,-0.39835218
2018-03-22,-0.9275496
2018-03-23,-2.5926993
2018-03-26,-0.60589963
2018-03-27,0.7322193
2018-03-28,-1.641098
2018-03-29,1.1561105
2018-03-30,0.06740658
2018-04-02,-0.2990749
2018-04-03,-0.59472364
2018-04-04,-0.210129
2018-04-09,-0.07908189
2018-04-10,1.682838
2018-04-11,0.21910061
2018-04-12,-0.9329039
2018-04-13,-0.66279423
2018-04-16,-1.4681568
2018-04-17,-1.4434198
2018-04-18,0.38498774
2018-04-19,1.0436707
2018-04-20,-1.2264545
2018-04-23,0.095261596
2018-04-24,1.7914003
2018-04-25,-0.37724847
2018-04-26,-1.7383621
2018-04-27,-0.0015829126
2018-05-02,0.12618682
2018-05-03,0.6606695
2018-05-04,-0.46674144
2018-05-07,1.3725021
2018-05-08,0.9996572
2018-05-09,-0.19663706
2018-05-10,0.45914027
2018-05-11,-0.49720454
2018-05-14,0.8044702
2018-05-15,0.3030906
2018-05-16,-0.7441549
2018-05-17,-0.69354415
2018-05-18,0.86537516
2018-05-21,0.38067454
2018-05-22,-0.3760639
2018-05-23,-1.2121818
2018-05-24,-0.6670702
2018-05-25,-0.2839788
2018-05-28,0.35701585
2018-05-29,-0.7144195
2018-05-30,-1.9234833
2018-05-31,1.8565228
2018-06-01,-0.77938265
2018-06-04,0.83983606
2018-06-05,0.8488874
2018-06-06,-0.21898906
2018-06-07,-0.18158877
2018-06-08,-1.2299815
2018-06-11,-0.025762169
2018-06-12,1.0494392
2018-06-13,-0.9105307
2018-06-14,-0.38662907
2018-06-15,-0.5051191
2018-06-19,-3.0
2018-06-20,0.3181973
2018-06-21,-1.0756794
2018-06-22,0.3609572
2018-06-25,-1.2302206
2018-06-26,-0.769423
2018-06-27,-1.847684
2018-06-28,-0.9550328
2018-06-29,2.2422435
2018-07-02,-2.6492965
2018-07-03,3.1870724e-05
2018-07-04,-1.2245901
2018-07-05,-0.5989465
2018-07-06,0.57044345
2018-07-09,2.4565847
2018-07-10,0.18026082
2018-07-11,-1.5760498
2018-07-12,1.8885423
2018-07-13,0.2634434
